ID;Width;Height
1482;8.874314;76.585646
1483;9.487741;76.310252
1484;12.446034;74.936501
1485;11.163442;75.800832
1486;10.149064;76.379426
1487;11.380724;75.723615
1488;12.744214;74.874164
1489;10.57426;76.011779
1490;10.566386;76.010059
1491;8.728346;76.558472
1492;11.82639;75.408536
1493;11.547675;75.593603
1494;11.259285;75.763934
1495;10.10633;76.186156
1496;8.38548;76.976304
1497;11.909766;75.317068
1498;11.795534;75.431237
1499;10.098782;76.126167
1500;0;0
1501;11.807764;75.504456
1502;8.735552;76.700973
1503;11.872813;75.345475
1504;8.304256;77.079086
1505;8.30425;77.011057
1506;8.478904;76.909326
1507;12.241043;75.104465
1508;10.439995;76.089686
1509;11.494047;75.614164
1510;8.894748;76.536003
1511;8.74414;76.696908
1512;10.878909;75.888185
1513;8.461506;76.924419
1514;0;0
